SlotID,TimeStart,TimeEnd,ChannelID
S01,2025-06-15T08:00,2025-06-15T09:00,Channel1
S02,2025-06-15T09:00,2025-06-15T10:00,Channel2
S03,2025-06-15T10:00,2025-06-15T11:00,Channel3
S04,2025-06-15T11:00,2025-06-15T12:00,Channel4
S05,2025-06-15T12:00,2025-06-15T13:00,Channel5
S06,2025-06-15T13:00,2025-06-15T14:00,Channel1
S07,2025-06-15T14:00,2025-06-15T15:00,Channel2
S08,2025-06-15T15:00,2025-06-15T16:00,Channel3
S09,2025-06-15T16:00,2025-06-15T17:00,Channel4
S10,2025-06-15T17:00,2025-06-15T18:00,Channel5
S11,2025-06-15T18:00,2025-06-15T19:00,Channel1
S12,2025-06-15T19:00,2025-06-15T20:00,Channel2
S13,2025-06-15T20:00,2025-06-15T21:00,Channel3
S14,2025-06-15T21:00,2025-06-15T22:00,Channel4
S15,2025-06-15T22:00,2025-06-15T23:00,Channel5
S16,2025-06-15T23:00,2025-06-16T00:00,Channel1
S17,2025-06-16T00:00,2025-06-16T01:00,Channel2
S18,2025-06-16T01:00,2025-06-16T02:00,Channel3
S19,2025-06-16T02:00,2025-06-16T03:00,Channel4
S20,2025-06-16T03:00,2025-06-16T04:00,Channel5
S21,2025-06-16T04:00,2025-06-16T05:00,Channel1
S22,2025-06-16T05:00,2025-06-16T06:00,Channel2
S23,2025-06-16T06:00,2025-06-16T07:00,Channel3
S24,2025-06-16T07:00,2025-06-16T08:00,Channel4
S25,2025-06-16T08:00,2025-06-16T09:00,Channel5
S26,2025-06-16T09:00,2025-06-16T10:00,Channel1
S27,2025-06-16T10:00,2025-06-16T11:00,Channel2
S28,2025-06-16T11:00,2025-06-16T12:00,Channel3
S29,2025-06-16T12:00,2025-06-16T13:00,Channel4
S30,2025-06-16T13:00,2025-06-16T14:00,Channel5
